Amazon,,Apple,,Microsoft,
3/1/2019,83.587,3/1/2019,2/12/1900,3/1/2019,112.53
3/8/2019,81.04,3/8/2019,2/12/1900,3/8/2019,110.51
3/15/2019,85.618,3/15/2019,2/15/1900,3/15/2019,115.91
3/22/2019,88.239,3/22/2019,2/16/1900,3/22/2019,117.05
3/29/2019,89.038,3/29/2019,2/16/1900,3/29/2019,117.94
4/5/2019,91.864,4/5/2019,2/18/1900,4/5/2019,119.89
4/12/2019,92.153,4/12/2019,2/18/1900,4/12/2019,120.95
4/19/2019,93.085,4/19/2019,2/19/1900,4/19/2019,123.37
4/26/2019,97.532,4/26/2019,2/20/1900,4/26/2019,129.89
5/3/2019,98.123,5/3/2019,2/21/1900,5/3/2019,128.9
5/10/2019,94.499,5/10/2019,2/18/1900,5/10/2019,127.13
5/17/2019,93.45,5/17/2019,2/16/1900,5/17/2019,128.07
5/24/2019,91.164,5/24/2019,2/13/1900,5/24/2019,126.24
5/31/2019,88.754,5/31/2019,2/12/1900,5/31/2019,123.68
6/7/2019,90.202,6/7/2019,2/16/1900,6/7/2019,131.4
6/14/2019,93.484,6/14/2019,2/17/1900,6/14/2019,132.45
6/21/2019,95.565,6/21/2019,2/18/1900,6/21/2019,136.97
6/28/2019,94.682,6/28/2019,2/18/1900,6/28/2019,133.96
7/5/2019,97.146,7/5/2019,2/20/1900,7/5/2019,137.06
7/12/2019,100.55,7/12/2019,2/19/1900,7/12/2019,138.9
7/19/2019,98.226,7/19/2019,2/19/1900,7/19/2019,136.62
7/26/2019,97.153,7/26/2019,2/20/1900,7/26/2019,141.34
8/2/2019,91.162,8/2/2019,2/20/1900,8/2/2019,136.9
8/9/2019,90.379,8/9/2019,2/19/1900,8/9/2019,137.71
8/16/2019,89.629,8/16/2019,2/20/1900,8/16/2019,136.13
8/23/2019,87.481,8/23/2019,2/19/1900,8/23/2019,133.39
8/30/2019,88.815,8/30/2019,2/21/1900,8/30/2019,137.86
9/6/2019,91.676,9/6/2019,2/22/1900,9/6/2019,139.1
9/13/2019,91.967,9/13/2019,2/23/1900,9/13/2019,137.32
9/20/2019,89.708,9/20/2019,2/23/1900,9/20/2019,139.44
9/27/2019,86.273,9/27/2019,2/23/1900,9/27/2019,137.73
10/4/2019,86.983,10/4/2019,2/25/1900,10/4/2019,138.12
10/11/2019,86.596,10/11/2019,2/28/1900,10/11/2019,139.68
10/18/2019,87.876,10/18/2019,2/28/1900,10/18/2019,137.41
10/25/2019,88.066,10/25/2019,3/1/1900,10/25/2019,140.73
